,Yıl,Destek Yaşı,Dönem,Yıllık Destek,Bugünkü Değer,Anne,Baba,Eş,destek,Çocuk 1
0,2020,34,Geçmiş,25545.72,25545.72,3193.215,3193.215,6744.07008,7663.716,3831.858
1,2021,36,Geçmiş,31053.36,31053.36,3881.67,3881.67,8198.08704,9316.008,4658.004
2,2022,36,Geçmiş,51040.799999999996,51040.799999999996,6380.099999999999,6380.099999999999,13474.7712,15312.24,7656.12
3,2023,37,Geçmiş,102081.59999999999,102081.59999999999,12760.199999999999,12760.199999999999,29399.500799999998,30624.48,15312.24
4,2024,38,Geçmiş,204025.44,204025.44,25503.18,25503.18,58759.32672000001,61207.63200000001,30603.816000000006
5,2025,40,Geçmiş,265256.04,265256.04,33157.005,33157.005,76393.73951999999,79576.81199999999,39788.405999999995
6,2026,40,Gelecek Aktif,265256.04,265256.04,33157.005,33157.005,76393.73951999999,79576.81199999999,39788.405999999995
7,2027,41,Gelecek Aktif,265256.04,265256.04,33157.005,33157.005,76393.73951999999,79576.81199999999,39788.405999999995
8,2028,42,Gelecek Aktif,265256.04,265256.04,34475.74951704545,31838.260482954545,79576.81199999999,79576.81199999999,39788.405999999995
9,2029,44,Gelecek Aktif,265256.04,265256.04,66314.01,0,79576.81199999999,79576.81199999999,39788.405999999995
10,2030,44,Gelecek Aktif,265256.04,265256.04,66314.01,0,79576.81199999999,79576.81199999999,39788.405999999995
11,2031,45,Gelecek Aktif,265256.04,265256.04,66314.01,0,79576.81199999999,79576.81199999999,39788.405999999995
12,2032,46,Gelecek Aktif,265256.04,265256.04,66314.01,0,79576.81199999999,79576.81199999999,39788.405999999995
13,2033,48,Gelecek Aktif,265256.04,265256.04,66314.01,0,97481.59469999999,99471.01499999998,0
14,2034,48,Gelecek Aktif,265256.04,265256.04,66314.01,0,97481.59469999999,99471.01499999998,0
15,2035,49,Gelecek Aktif,265256.04,265256.04,66314.01,0,97481.59469999999,99471.01499999998,0
16,2036,50,Gelecek Aktif,265256.04,265256.04,66314.01,0,97481.59469999999,99471.01499999998,0
17,2037,52,Gelecek Aktif,265256.04,265256.04,0,0,129975.45959999999,132628.02,0
18,2038,52,Gelecek Aktif,265256.04,265256.04,0,0,131301.73979999998,132628.02,0
19,2039,53,Gelecek Aktif,265256.04,265256.04,0,0,131301.73979999998,132628.02,0
20,2040,54,Gelecek Aktif,265256.04,265256.04,0,0,131301.73979999998,132628.02,0
21,2041,56,Gelecek Aktif,265256.04,265256.04,0,0,131301.73979999998,132628.02,0
22,2042,56,Gelecek Aktif,265256.04,265256.04,0,0,131301.73979999998,132628.02,0
23,2043,57,Gelecek Aktif,265256.04,265256.04,0,0,132628.02,132628.02,0
24,2044,58,Gelecek Aktif,265256.04,265256.04,0,0,132628.02,132628.02,0
25,2045,60,Gelecek Aktif,265256.04,265256.04,0,0,132628.02,132628.02,0
26,2046,60,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
27,2047,61,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
28,2048,62,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
29,2049,64,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
30,2050,64,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
31,2051,65,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
32,2052,66,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
33,2053,68,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
34,2054,68,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
35,2055,69,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
36,2056,70,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
37,2057,72,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
38,2058,72,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
39,2059,73,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
40,2060,74,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
41,2061,76,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
42,2062,76,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0
43,2063,77,Gelecek Pasif,244907.63145205477,244907.63145205477,0,0,122453.81572602739,122453.81572602739,0
