,Yıl,Destek Yaşı,Dönem,Yıllık Destek,Bugünkü Değer,Anne,Baba,Eş,destek,Çocuk 1,Çocuk 2
0,2024,35,Geçmiş,199008.42098360654,199008.42098360654,24876.052622950818,24876.052622950818,49752.105245901635,49752.105245901635,24876.052622950818,24876.052622950818
1,2025,36,Geçmiş,265256.04,265256.04,33157.005,33157.005,66314.01,66314.01,33157.005,33157.005
2,2026,37,Gelecek Aktif,265256.04,265256.04,33157.005,33157.005,66314.01,66314.01,33157.005,33157.005
3,2027,38,Gelecek Aktif,265256.04,265256.04,33157.005,33157.005,66314.01,66314.01,33157.005,33157.005
4,2028,39,Gelecek Aktif,265256.04,265256.04,33477.141599999995,30916.048799999997,66954.28319999999,66954.28319999999,33477.141599999995,33477.141599999995
5,2029,40,Gelecek Aktif,265256.04,265256.04,37893.719999999994,0,75787.43999999999,75787.43999999999,37893.719999999994,37893.719999999994
6,2030,41,Gelecek Aktif,265256.04,265256.04,37893.719999999994,0,75787.43999999999,75787.43999999999,37893.719999999994,37893.719999999994
7,2031,42,Gelecek Aktif,265256.04,265256.04,37893.719999999994,0,75787.43999999999,75787.43999999999,37893.719999999994,37893.719999999994
8,2032,43,Gelecek Aktif,265256.04,265256.04,43790.577645466845,0,87581.15529093369,87581.15529093369,43790.577645466845,2512.5741271989173
9,2033,44,Gelecek Aktif,265256.04,265256.04,53051.208,0,103980.36768,106102.416,0,0
10,2034,45,Gelecek Aktif,265256.04,265256.04,53051.208,0,103980.36768,106102.416,0,0
11,2035,46,Gelecek Aktif,265256.04,265256.04,53051.208,0,103980.36768,106102.416,0,0
12,2036,47,Gelecek Aktif,265256.04,265256.04,49753.90761376248,0,105596.04486925635,107751.06619311874,0,0
13,2037,48,Gelecek Aktif,265256.04,265256.04,0,0,129975.45959999999,132628.02,0,0
14,2038,49,Gelecek Aktif,265256.04,265256.04,0,0,131301.73979999998,132628.02,0,0
15,2039,50,Gelecek Aktif,265256.04,265256.04,0,0,131301.73979999998,132628.02,0,0
16,2040,51,Gelecek Aktif,265256.04,265256.04,0,0,131301.73979999998,132628.02,0,0
17,2041,52,Gelecek Aktif,265256.04,265256.04,0,0,131301.73979999998,132628.02,0,0
18,2042,53,Gelecek Aktif,265256.04,265256.04,0,0,131301.73979999998,132628.02,0,0
19,2043,54,Gelecek Aktif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
20,2044,55,Gelecek Aktif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
21,2045,56,Gelecek Aktif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
22,2046,57,Gelecek Aktif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
23,2047,58,Gelecek Aktif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
24,2048,59,Gelecek Aktif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
25,2049,60,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
26,2050,61,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
27,2051,62,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
28,2052,63,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
29,2053,64,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
30,2054,65,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
31,2055,66,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
32,2056,67,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
33,2057,68,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
34,2058,69,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
35,2059,70,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
36,2060,71,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
37,2061,72,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
38,2062,73,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
39,2063,74,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
40,2064,75,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
41,2065,76,Gelecek Pasif,265256.04,265256.04,0,0,132628.02,132628.02,0,0
42,2066,77,Gelecek Pasif,244907.63145205477,244907.63145205477,0,0,122453.81572602739,122453.81572602739,0,0
